MONAT,WERT,VORJAHRESWERT,month_date,LAG_1,LAG_2,LAG_3
200811,27.0,36.0,2008-11-01,45.0,49.0,44.0
200812,35.0,37.0,2008-12-01,27.0,45.0,49.0
200901,23.0,32.0,2009-01-01,35.0,27.0,45.0
200902,32.0,30.0,2009-02-01,23.0,35.0,27.0
200903,14.0,30.0,2009-03-01,32.0,23.0,35.0
200904,45.0,25.0,2009-04-01,14.0,32.0,23.0
200905,57.0,57.0,2009-05-01,45.0,14.0,32.0
200906,31.0,56.0,2009-06-01,57.0,45.0,14.0
200907,44.0,52.0,2009-07-01,31.0,57.0,45.0
200908,35.0,44.0,2009-08-01,44.0,31.0,57.0
200909,49.0,49.0,2009-09-01,35.0,44.0,31.0
200910,35.0,45.0,2009-10-01,49.0,35.0,44.0
200911,31.0,27.0,2009-11-01,35.0,49.0,35.0
200912,34.0,35.0,2009-12-01,31.0,35.0,49.0
201001,19.0,23.0,2010-01-01,34.0,31.0,35.0
201002,23.0,32.0,2010-02-01,19.0,34.0,31.0
201003,31.0,14.0,2010-03-01,23.0,19.0,34.0
201004,33.0,45.0,2010-04-01,31.0,23.0,19.0
201005,34.0,57.0,2010-05-01,33.0,31.0,23.0
201006,39.0,31.0,2010-06-01,34.0,33.0,31.0
201007,48.0,44.0,2010-07-01,39.0,34.0,33.0
201008,40.0,35.0,2010-08-01,48.0,39.0,34.0
201009,54.0,49.0,2010-09-01,40.0,48.0,39.0
201010,27.0,35.0,2010-10-01,54.0,40.0,48.0
201011,28.0,31.0,2010-11-01,27.0,54.0,40.0
201012,26.0,34.0,2010-12-01,28.0,27.0,54.0
201101,25.0,19.0,2011-01-01,26.0,28.0,27.0
201102,25.0,23.0,2011-02-01,25.0,26.0,28.0
201103,22.0,31.0,2011-03-01,25.0,25.0,26.0
201104,43.0,33.0,2011-04-01,22.0,25.0,25.0
201105,43.0,34.0,2011-05-01,43.0,22.0,25.0
201106,27.0,39.0,2011-06-01,43.0,43.0,22.0
201107,39.0,48.0,2011-07-01,27.0,43.0,43.0
201108,34.0,40.0,2011-08-01,39.0,27.0,43.0
201109,36.0,54.0,2011-09-01,34.0,39.0,27.0
201110,26.0,27.0,2011-10-01,36.0,34.0,39.0
201111,40.0,28.0,2011-11-01,26.0,36.0,34.0
201112,37.0,26.0,2011-12-01,40.0,26.0,36.0
201201,21.0,25.0,2012-01-01,37.0,40.0,26.0
201202,18.0,25.0,2012-02-01,21.0,37.0,40.0
201203,21.0,22.0,2012-03-01,18.0,21.0,37.0
201204,34.0,43.0,2012-04-01,21.0,18.0,21.0
201205,54.0,43.0,2012-05-01,34.0,21.0,18.0
201206,43.0,27.0,2012-06-01,54.0,34.0,21.0
201207,56.0,39.0,2012-07-01,43.0,54.0,34.0
201208,55.0,34.0,2012-08-01,56.0,43.0,54.0
201209,49.0,36.0,2012-09-01,55.0,56.0,43.0
201210,32.0,26.0,2012-10-01,49.0,55.0,56.0
201211,30.0,40.0,2012-11-01,32.0,49.0,55.0
201212,27.0,37.0,2012-12-01,30.0,32.0,49.0
201301,17.0,21.0,2013-01-01,27.0,30.0,32.0
201302,15.0,18.0,2013-02-01,17.0,27.0,30.0
201303,21.0,21.0,2013-03-01,15.0,17.0,27.0
201304,28.0,34.0,2013-04-01,21.0,15.0,17.0
201305,33.0,54.0,2013-05-01,28.0,21.0,15.0
201306,37.0,43.0,2013-06-01,33.0,28.0,21.0
201307,42.0,56.0,2013-07-01,37.0,33.0,28.0
201308,39.0,55.0,2013-08-01,42.0,37.0,33.0
201309,47.0,49.0,2013-09-01,39.0,42.0,37.0
201310,31.0,32.0,2013-10-01,47.0,39.0,42.0
201311,35.0,30.0,2013-11-01,31.0,47.0,39.0
201312,32.0,27.0,2013-12-01,35.0,31.0,47.0
201401,21.0,17.0,2014-01-01,32.0,35.0,31.0
201402,17.0,15.0,2014-02-01,21.0,32.0,35.0
201403,37.0,21.0,2014-03-01,17.0,21.0,32.0
201404,35.0,28.0,2014-04-01,37.0,17.0,21.0
201405,28.0,33.0,2014-05-01,35.0,37.0,17.0
201406,31.0,37.0,2014-06-01,28.0,35.0,37.0
201407,35.0,42.0,2014-07-01,31.0,28.0,35.0
201408,32.0,39.0,2014-08-01,35.0,31.0,28.0
201409,43.0,47.0,2014-09-01,32.0,35.0,31.0
201410,36.0,31.0,2014-10-01,43.0,32.0,35.0
201411,42.0,35.0,2014-11-01,36.0,43.0,32.0
201412,25.0,32.0,2014-12-01,42.0,36.0,43.0
201501,22.0,21.0,2015-01-01,25.0,42.0,36.0
201502,23.0,17.0,2015-02-01,22.0,25.0,42.0
201503,23.0,37.0,2015-03-01,23.0,22.0,25.0
201504,29.0,35.0,2015-04-01,23.0,23.0,22.0
201505,50.0,28.0,2015-05-01,29.0,23.0,23.0
201506,39.0,31.0,2015-06-01,50.0,29.0,23.0
201507,49.0,35.0,2015-07-01,39.0,50.0,29.0
201508,49.0,32.0,2015-08-01,49.0,39.0,50.0
201509,45.0,43.0,2015-09-01,49.0,49.0,39.0
201510,25.0,36.0,2015-10-01,45.0,49.0,49.0
201511,30.0,42.0,2015-11-01,25.0,45.0,49.0
201512,27.0,25.0,2015-12-01,30.0,25.0,45.0
201601,21.0,22.0,2016-01-01,27.0,30.0,25.0
201602,10.0,23.0,2016-02-01,21.0,27.0,30.0
201603,20.0,23.0,2016-03-01,10.0,21.0,27.0
201604,27.0,29.0,2016-04-01,20.0,10.0,21.0
201605,25.0,50.0,2016-05-01,27.0,20.0,10.0
201606,30.0,39.0,2016-06-01,25.0,27.0,20.0
201607,35.0,49.0,2016-07-01,30.0,25.0,27.0
201608,34.0,49.0,2016-08-01,35.0,30.0,25.0
201609,29.0,45.0,2016-09-01,34.0,35.0,30.0
201610,30.0,25.0,2016-10-01,29.0,34.0,35.0
201611,20.0,30.0,2016-11-01,30.0,29.0,34.0
201612,20.0,27.0,2016-12-01,20.0,30.0,29.0
201701,19.0,21.0,2017-01-01,20.0,20.0,30.0
201702,22.0,10.0,2017-02-01,19.0,20.0,20.0
201703,36.0,20.0,2017-03-01,22.0,19.0,20.0
201704,26.0,27.0,2017-04-01,36.0,22.0,19.0
201705,29.0,25.0,2017-05-01,26.0,36.0,22.0
201706,41.0,30.0,2017-06-01,29.0,26.0,36.0
201707,52.0,35.0,2017-07-01,41.0,29.0,26.0
201708,30.0,34.0,2017-08-01,52.0,41.0,29.0
201709,47.0,29.0,2017-09-01,30.0,52.0,41.0
201710,32.0,30.0,2017-10-01,47.0,30.0,52.0
201711,33.0,20.0,2017-11-01,32.0,47.0,30.0
201712,42.0,20.0,2017-12-01,33.0,32.0,47.0
201801,22.0,19.0,2018-01-01,42.0,33.0,32.0
201802,24.0,22.0,2018-02-01,22.0,42.0,33.0
201803,32.0,36.0,2018-03-01,24.0,22.0,42.0
201804,25.0,26.0,2018-04-01,32.0,24.0,22.0
201805,34.0,29.0,2018-05-01,25.0,32.0,24.0
201806,39.0,41.0,2018-06-01,34.0,25.0,32.0
201807,51.0,52.0,2018-07-01,39.0,34.0,25.0
201808,40.0,30.0,2018-08-01,51.0,39.0,34.0
201809,36.0,47.0,2018-09-01,40.0,51.0,39.0
201810,43.0,32.0,2018-10-01,36.0,40.0,51.0
201811,31.0,33.0,2018-11-01,43.0,36.0,40.0
201812,21.0,42.0,2018-12-01,31.0,43.0,36.0
201901,22.0,22.0,2019-01-01,21.0,31.0,43.0
201902,28.0,24.0,2019-02-01,22.0,21.0,31.0
201903,34.0,32.0,2019-03-01,28.0,22.0,21.0
201904,36.0,25.0,2019-04-01,34.0,28.0,22.0
201905,39.0,34.0,2019-05-01,36.0,34.0,28.0
201906,40.0,39.0,2019-06-01,39.0,36.0,34.0
201907,48.0,51.0,2019-07-01,40.0,39.0,36.0
201908,31.0,40.0,2019-08-01,48.0,40.0,39.0
201909,47.0,36.0,2019-09-01,31.0,48.0,40.0
201910,45.0,43.0,2019-10-01,47.0,31.0,48.0
201911,29.0,31.0,2019-11-01,45.0,47.0,31.0
201912,35.0,21.0,2019-12-01,29.0,45.0,47.0
202001,28.0,22.0,2020-01-01,35.0,29.0,45.0
202002,40.0,28.0,2020-02-01,28.0,35.0,29.0
202003,27.0,34.0,2020-03-01,40.0,28.0,35.0
202004,26.0,36.0,2020-04-01,27.0,40.0,28.0
202005,40.0,39.0,2020-05-01,26.0,27.0,40.0
202006,49.0,40.0,2020-06-01,40.0,26.0,27.0
202007,58.0,48.0,2020-07-01,49.0,40.0,26.0
202008,46.0,31.0,2020-08-01,58.0,49.0,40.0
202009,46.0,47.0,2020-09-01,46.0,58.0,49.0
202010,34.0,45.0,2020-10-01,46.0,46.0,58.0
202011,23.0,29.0,2020-11-01,34.0,46.0,46.0
202012,13.0,35.0,2020-12-01,23.0,34.0,46.0
202101,16.0,28.0,2021-01-01,13.0,23.0,34.0
202102,14.0,40.0,2021-02-01,16.0,13.0,23.0
202103,24.0,27.0,2021-03-01,14.0,16.0,13.0
202104,16.0,26.0,2021-04-01,24.0,14.0,16.0
202105,24.0,40.0,2021-05-01,16.0,24.0,14.0
202106,48.0,49.0,2021-06-01,24.0,16.0,24.0
202107,44.0,58.0,2021-07-01,48.0,24.0,16.0
202108,46.0,46.0,2021-08-01,44.0,48.0,24.0
202109,54.0,46.0,2021-09-01,46.0,44.0,48.0
202110,43.0,34.0,2021-10-01,54.0,46.0,44.0
202111,33.0,23.0,2021-11-01,43.0,54.0,46.0
202112,21.0,13.0,2021-12-01,33.0,43.0,54.0
202201,19.0,16.0,2022-01-01,21.0,33.0,43.0
202202,32.0,14.0,2022-02-01,19.0,21.0,33.0
202203,28.0,24.0,2022-03-01,32.0,19.0,21.0
202204,34.0,16.0,2022-04-01,28.0,32.0,19.0
202205,57.0,24.0,2022-05-01,34.0,28.0,32.0
202206,60.0,48.0,2022-06-01,57.0,34.0,28.0
202207,54.0,44.0,2022-07-01,60.0,57.0,34.0
202208,44.0,46.0,2022-08-01,54.0,60.0,57.0
202209,56.0,54.0,2022-09-01,44.0,54.0,60.0
202210,49.0,43.0,2022-10-01,56.0,44.0,54.0
202211,28.0,33.0,2022-11-01,49.0,56.0,44.0
202212,32.0,21.0,2022-12-01,28.0,49.0,56.0
